Class,text
two,Tornado Warning for Newton County in TX until 6:30pm CST. 
two,Tornado Warning for Vernon Parish in LA until 6:30pm CST. #lawx
one,tornado watch :( I'm scared who gon come hold me?
two,Tornado Warning for Newton County in TX until 6:30pm CST. 
two,Tornado Warning for Vernon Parish in LA until 6:30pm CST. #lawx
two,Tornado Warning for Vernon-LA & Newton-TX until 06:30 PM CST.
zero,It looks like a tornado has been through my room..
zero,It Need 2 Be a Mini Tornado so we can go on dis Thanksgiving Break extra Early
zero,�@BLAZINCANADIAN_ A tornado flew around my room  before you came in. excuse the messy maid ..it (cont) http://t.co/yYQWIAlZ
zero,RT @Nivek_Soul: A tornado flew around my room before u came excuse the mess it made...
two,Tornado Warning issued November 15 at 5:27PM CST expiring November 15 at 6:15PM CST by NWS Lake Charles... http://t.co/IyjSTz4X
zero,I get sick and it's like a tornado hit my room. Madness.
zero,"the city is hoping to get every home with exterior damage fixed by the end of the year" http://t.co/nrDdxjVn
zero,RT @TheMrInfamous: A tornado flew around my room before you came. Excuse the mess it made.
zero,Tiesto & Steve Aoki - Tornado:  Artist: Tiesto & Steve Aoki Title: Tornado Label: Dim Mak Records\886788224384\ ... http://t.co/fluGtSEt
zero,Tryna hit her with the tornado tongue
zero,A tornado flew around my room before you came. Excuse the mess it made.
two,THE NATIONAL WEATHER SERVICE IN LAKE CHARLES HAS ISSUED A  * TORNADO WARNING FOR...   EAST CENTRAL JASPER COUNTY... http://t.co/mBEgjnpH
zero,http://t.co/7w8jIH0T
zero,#IKnewItWasOver when I seen her house looking like a tornado hit it
zero,"Blankets with a Blessing" donated to tornado victims: First Lady Dianne Bentley is continuing the "Blankets wit... http://t.co/Vucy3Sd5
zero,maybe that's what happens when a tornado meets a volcano ? all I know is I love you too much to walk away tho.
zero,RT @steveaoki: "Tornado" is out on Beatport tomorrow!!! Ti�sto  are you ready?! http://t.co/hRW0BOMS
one,�@CuzImAlwaysON: Aye RT @PimpKGP_ tornado watch? *puts phone on charger just incase ..� what?
two,RT @DixieAlleyChasr: Tornado Warning for Jasper and Newton County in TX until 6:15pm CST.  http://t.co/tntS0dNc
one,Aye RT @PimpKGP_ tornado watch? *puts phone on charger just incase ..
two,Tornado Warning for Jasper and Newton County in TX until 6:15pm CST.  http://t.co/tntS0dNc
zero,Whats it called?RT @BonaFidePRETTYY This song get me in my feelings :( RT @WhySoGlamorous A tornado (cont) http://t.co/zLk3B32O
two,* won't be attending the scrimmage due to a tornado warning. Bull right?
zero,Playin volleyball outside when its hella cold lol I swear if there was a tornado we would still be playing smh haha
zero,Wtf these ignorant assholes got me sittin in a middle of a fuckin tornado like a damn sitting duck!!
